"Fiscal Year","Facility ID","Facility Name","Address","City","State","ZIP Code","County Name","MSPB-1 Achievement Threshold","MSPB-1 Benchmark","MSPB-1 Baseline Rate","MSPB-1 Performance Rate","MSPB-1 Achievement Points","MSPB-1 Improvement Points","MSPB-1 Measure Score"
"2021","010083",SOUTH BALDWIN REGIONAL MEDICAL CENTER,"1613 NORTH MCKENZIE STREET",FOLEY,AL,"36535",Baldwin,"0.987266","0.852083","0.956723","0.951887","3 out of 10","0 out of 9","3 out of 10"
"2021","010085",DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,"1201 7TH STREET SE",DECATUR,AL,"35601",Morgan,"0.987266","0.852083","1.003815","0.985957","1 out of 10","1 out of 9","1 out of 10"
"2021","010086",NORTHWEST MEDICAL CENTER,"1530 U S HIGHWAY 43",WINFIELD,AL,"35594",Fayette,"0.987266","0.852083","1.018054","1.017158","0 out of 10","0 out of 9","0 out of 10"
"2021","010087",UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,"2451 FILLINGIM STREET",MOBILE,AL,"36617",Mobile,"0.987266","0.852083","0.992692","0.994704","0 out of 10","0 out of 9","0 out of 10"
"2021","010089",WALKER BAPTIST MEDICAL CENTER,"3400 HIGHWAY 78 EAST",JASPER,AL,"35502",Walker,"0.987266","0.852083","1.018632","1.014207","0 out of 10","0 out of 9","0 out of 10"
"2021","010090",PROVIDENCE HOSPITAL,"6801 AIRPORT BOULEVARD",MOBILE,AL,"36608",Mobile,"0.987266","0.852083","0.982893","0.975794","1 out of 10","0 out of 9","1 out of 10"
"2021","010092",D C H REGIONAL MEDICAL CENTER,"809 UNIVERSITY BOULEVARD EAST",TUSCALOOSA,AL,"35401",Tuscaloosa,"0.987266","0.852083","1.001249","0.988740","0 out of 10","0 out of 9","0 out of 10"
"2021","010099",D W MCMILLAN MEMORIAL HOSPITAL,"1301 BELLEVILLE AVENUE",BREWTON,AL,"36426",Escambia,"0.987266","0.852083","0.977323","1.003518","0 out of 10","0 out of 9","0 out of 10"
"2021","010100",THOMAS HOSPITAL,"750 MORPHY AVENUE",FAIRHOPE,AL,"36532",Baldwin,"0.987266","0.852083","0.946411","0.956337","3 out of 10","0 out of 9","3 out of 10"
"2021","010103",PRINCETON BAPTIST MEDICAL CENTER,"701 PRINCETON AVENUE SOUTHWEST",BIRMINGHAM,AL,"35211",Jefferson,"0.987266","0.852083","1.007988","1.014047","0 out of 10","0 out of 9","0 out of 10"
"2021","010104",GRANDVIEW MEDICAL CENTER,"3690 GRANDVIEW PARKWAY",BIRMINGHAM,AL,"35243",Jefferson,"0.987266","0.852083","1.029152","1.023866","0 out of 10","0 out of 9","0 out of 10"
"2021","010108",PRATTVILLE BAPTIST HOSPITAL,"124 S MEMORIAL DR",PRATTVILLE,AL,"36067",Autauga,"0.987266","0.852083","0.972128","0.947684","3 out of 10","2 out of 9","3 out of 10"
"2021","010112",BRYAN W. WHITFIELD MEMORIAL HOSPITAL,"105 HIGHWAY 80 EAST",DEMOPOLIS,AL,"36732",Marengo,"0.987266","0.852083","0.998832","0.901927","6 out of 10","6 out of 9","6 out of 10"
"2021","010113",MOBILE INFIRMARY MEDICAL CENTER,"5 MOBILE INFIRMARY CIRCLE",MOBILE,AL,"36652",Mobile,"0.987266","0.852083","1.009104","0.996281","0 out of 10","0 out of 9","0 out of 10"
"2021","010114","MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","995 9TH AVENUE SOUTHWEST",BESSEMER,AL,"35021",Jefferson,"0.987266","0.852083","1.019034","1.013490","0 out of 10","0 out of 9","0 out of 10"
"2021","010118",VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,"1015 MEDICAL CENTER PARKWAY",SELMA,AL,"36701",Dallas,"0.987266","0.852083","0.938122","0.981830","1 out of 10","0 out of 9","1 out of 10"
"2021","010120",MONROE COUNTY HOSPITAL,"2016 SOUTH ALABAMA AVENUE",MONROEVILLE,AL,"36460",Monroe,"0.987266","0.852083","1.085824","1.088242","0 out of 10","0 out of 9","0 out of 10"
"2021","010125",LAKELAND COMMUNITY HOSPITAL,"42024 HIGHWAY 195 E",HALEYVILLE,AL,"35565",Winston,"0.987266","0.852083","1.000138","0.916808","5 out of 10","5 out of 9","5 out of 10"
"2021","010129",NORTH BALDWIN INFIRMARY,"1815 HAND AVENUE",BAY MINETTE,AL,"36507",Baldwin,"0.987266","0.852083","0.964537","0.953056","3 out of 10","1 out of 9","3 out of 10"
"2021","010130",ST VINCENT'S ST CLAIR,"7063 VETERANS PARKWAY",PELL CITY,AL,"35125",Saint Clair,"0.987266","0.852083","0.894884","0.927035","5 out of 10","0 out of 9","5 out of 10"
"2021","010131",CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,"35801",Madison,"0.987266","0.852083","0.978727","0.958595","2 out of 10","1 out of 9","2 out of 10"
"2021","010139",BROOKWOOD BAPTIST MEDICAL CENTER,"2010 BROOKWOOD MEDICAL CENTER DRIVE",BIRMINGHAM,AL,"35209",Jefferson,"0.987266","0.852083","1.048437","1.079399","0 out of 10","0 out of 9","0 out of 10"
"2021","010144",SPRINGHILL MEMORIAL HOSPITAL,"3719 DAUPHIN STREET",MOBILE,AL,"36608",Mobile,"0.987266","0.852083","0.988487","0.960405","2 out of 10","2 out of 9","2 out of 10"
"2021","010148",EVERGREEN MEDICAL CENTER,"101 CRESTVIEW AVENUE",EVERGREEN,AL,"36401",Conecuh,"0.987266","0.852083","0.868079","0.916417","5 out of 10","0 out of 9","5 out of 10"
"2021","010149",BAPTIST MEDICAL CENTER EAST,"400 TAYLOR ROAD",MONTGOMERY,AL,"36117",Montgomery,"0.987266","0.852083","0.997789","0.988409","0 out of 10","0 out of 9","0 out of 10"
"2021","010150",REGIONAL MEDICAL CENTER OF CENTRAL ALABAMA,"29 L V STABLER DRIVE",GREENVILLE,AL,"36037",Butler,"0.987266","0.852083","1.022274","1.015814","0 out of 10","0 out of 9","0 out of 10"
"2021","010157",SHOALS HOSPITAL,"201 WEST AVALON AVENUE",MUSCLE SHOALS,AL,"35661",Colbert,"0.987266","0.852083","1.040592","1.000544","0 out of 10","2 out of 9","2 out of 10"
"2021","010158",RUSSELLVILLE HOSPITAL,"15155 HIGHWAY 43",RUSSELLVILLE,AL,"35653",Franklin,"0.987266","0.852083","1.001215","0.976946","1 out of 10","1 out of 9","1 out of 10"
"2021","010164",COOSA VALLEY MEDICAL CENTER,"315 W HICKORY ST",SYLACAUGA,AL,"35150",Talladega,"0.987266","0.852083","0.974626","0.978418","1 out of 10","0 out of 9","1 out of 10"
"2021","010168",JACK HUGHSTON MEMORIAL HOSPITAL,"4401 RIVER CHASE DRIVE",PHENIX CITY,AL,"36867",Russell,"0.987266","0.852083","0.959622","0.919886","5 out of 10","3 out of 9","5 out of 10"
"2021","010169",ATMORE COMMUNITY HOSPITAL,"401 MEDICAL PARK DRIVE",ATMORE,AL,"36502",Escambia,"0.987266","0.852083","0.967462","0.884606","7 out of 10","7 out of 9","7 out of 10"
"2021","010173",ST VINCENT'S CHILTON,"2030 LAY DAM ROAD",CLANTON,AL,"35045",Chilton,"0.987266","0.852083","0.865562","0.890503","7 out of 10","0 out of 9","7 out of 10"
"2021","020001",PROVIDENCE ALASKA MEDICAL CENTER,"3200 PROVIDENCE DRIVE",ANCHORAGE,AK,"99508",Anchorage,"0.987266","0.852083","0.917143","0.923110","5 out of 10","0 out of 9","5 out of 10"
"2021","020006",MAT-SU REGIONAL MEDICAL CENTER,"2500 SOUTH WOODWORTH LOOP",PALMER,AK,"99645",Matanuska-Susitna,"0.987266","0.852083","0.811123","0.826209","10 out of 10","0 out of 9","10 out of 10"
"2021","020008",BARTLETT REGIONAL HOSPITAL,"3260 HOSPITAL DR",JUNEAU,AK,"99801",Juneau,"0.987266","0.852083","0.916544","0.938032","4 out of 10","0 out of 9","4 out of 10"
"2021","020012",FAIRBANKS MEMORIAL HOSPITAL,"1650 COWLES STREET",FAIRBANKS,AK,"99701",Fairbanks North Star,"0.987266","0.852083","0.790004","0.823364","10 out of 10","0 out of 9","10 out of 10"
"2021","020017",ALASKA REGIONAL HOSPITAL,"2801 DEBARR ROAD",ANCHORAGE,AK,"99508",Anchorage,"0.987266","0.852083","0.894843","0.896693","7 out of 10","0 out of 9","7 out of 10"
"2021","020018",YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,BETHEL,AK,"99559",Bethel,"0.987266","0.852083","0.817469","0.779392","10 out of 10","9 out of 9","10 out of 10"
"2021","020024",CENTRAL PENINSULA GENERAL HOSPITAL,"250 HOSPITAL PLACE",SOLDOTNA,AK,"99669",Kenai Peninsula,"0.987266","0.852083","0.810469","0.861511","9 out of 10","0 out of 9","9 out of 10"
"2021","020026",ALASKA NATIVE MEDICAL CENTER,"4315 DIPLOMACY DR",ANCHORAGE,AK,"99508",Anchorage,"0.987266","0.852083","0.906385","0.909977","6 out of 10","0 out of 9","6 out of 10"
"2021","030002",BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,"1111 EAST MCDOWELL ROAD",PHOENIX,AZ,"85006",Maricopa,"0.987266","0.852083","0.990973","0.972572","1 out of 10","1 out of 9","1 out of 10"
"2021","030006",TUCSON MEDICAL CENTER,"5301 EAST GRANT ROAD",TUCSON,AZ,"85712",Pima,"0.987266","0.852083","1.009635","1.022003","0 out of 10","0 out of 9","0 out of 10"
"2021","030007",VERDE VALLEY MEDICAL CENTER,"269 SOUTH CANDY LANE",COTTONWOOD,AZ,"86326",Yavapai,"0.987266","0.852083","0.950303","0.969518","2 out of 10","0 out of 9","2 out of 10"
"2021","030010",ST. MARY'S HOSPITAL,"1601 WEST ST MARY'S ROAD",TUCSON,AZ,"85745",Pima,"0.987266","0.852083","1.020402","1.012152","0 out of 10","0 out of 9","0 out of 10"
"2021","030011",ST JOSEPH'S HOSPITAL,"350 NORTH WILMOT ROAD",TUCSON,AZ,"85711",Pima,"0.987266","0.852083","1.025668","1.035693","0 out of 10","0 out of 9","0 out of 10"
"2021","030012",YAVAPAI REGIONAL MEDICAL CENTER,"1003 WILLOW CREEK ROAD",PRESCOTT,AZ,"86301",Yavapai,"0.987266","0.852083","0.953456","0.991372","0 out of 10","0 out of 9","0 out of 10"
"2021","030013",YUMA REGIONAL MEDICAL CENTER,"2400 SOUTH AVENUE A",YUMA,AZ,"85364",Yuma,"0.987266","0.852083","0.970139","0.980213","1 out of 10","0 out of 9","1 out of 10"
"2021","030014",JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL,"250 EAST DUNLAP AVENUE",PHOENIX,AZ,"85020",Maricopa,"0.987266","0.852083","1.006041","0.993993","0 out of 10","0 out of 9","0 out of 10"
"2021","030016",BANNER CASA GRANDE MEDICAL CENTER,"1800 EAST FLORENCE BOULEVARD",CASA GRANDE,AZ,"85122",Pinal,"0.987266","0.852083","0.936598","0.955324","3 out of 10","0 out of 9","3 out of 10"
"2021","030022",VALLEYWISE HEALTH MEDICAL CENTER,"2601 EAST ROOSEVELT STREET",PHOENIX,AZ,"85008",Maricopa,"0.987266","0.852083","0.985461","0.988226","0 out of 10","0 out of 9","0 out of 10"
"2021","030023",FLAGSTAFF MEDICAL CENTER,"1200 NORTH BEAVER STREET",FLAGSTAFF,AZ,"86001",Coconino,"0.987266","0.852083","0.966330","1.015037","0 out of 10","0 out of 9","0 out of 10"
"2021","030024",ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,"350 WEST THOMAS ROAD",PHOENIX,AZ,"85013",Maricopa,"0.987266","0.852083","0.998105","0.996080","0 out of 10","0 out of 9","0 out of 10"
"2021","030030",ABRAZO CENTRAL CAMPUS,"2000 WEST BETHANY HOME ROAD",PHOENIX,AZ,"85015",Maricopa,"0.987266","0.852083","1.020094","1.035721","0 out of 10","0 out of 9","0 out of 10"
"2021","030036",CHANDLER REGIONAL MEDICAL CENTER,"1955 WEST FRYE ROAD",CHANDLER,AZ,"85224",Maricopa,"0.987266","0.852083","1.049268","1.042383","0 out of 10","0 out of 9","0 out of 10"
"2021","030037",ST LUKE'S MEDICAL CENTER,"1800 EAST VAN BUREN STREET",PHOENIX,AZ,"85006",Maricopa,"0.987266","0.852083","0.955341","0.978249","1 out of 10","0 out of 9","1 out of 10"
"2021","030038",SCOTTSDALE OSBORN MEDICAL CENTER,"7400 EAST OSBORN ROAD",SCOTTSDALE,AZ,"85251",Maricopa,"0.987266","0.852083","1.023033","1.004937","0 out of 10","1 out of 9","1 out of 10"
"2021","030043",CANYON VISTA MEDICAL CENTER,"5700 EAST HIGHWAY 90",SIERRA VISTA,AZ,"85635",Cochise,"0.987266","0.852083","0.955066","0.927160","5 out of 10","2 out of 9","5 out of 10"
"2021","030055",KINGMAN REGIONAL MEDICAL CENTER,"3269 STOCKTON HILL ROAD",KINGMAN,AZ,"86409",Mohave,"0.987266","0.852083","0.935987","0.908515","6 out of 10","3 out of 9","6 out of 10"
"2021","030061",BANNER BOSWELL MEDICAL CENTER,"10401 WEST THUNDERBIRD BOULEVARD",SUN CITY,AZ,"85351",Maricopa,"0.987266","0.852083","0.928491","0.945246","3 out of 10","0 out of 9","3 out of 10"
"2021","030062",SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,"2200 EAST SHOW LOW LAKE ROAD",SHOW LOW,AZ,"85901",Navajo,"0.987266","0.852083","0.926853","0.880610","8 out of 10","6 out of 9","8 out of 10"
"2021","030064",BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,"1625 NORTH CAMPBELL AVENUE",TUCSON,AZ,"85724",Pima,"0.987266","0.852083","0.980401","1.009342","0 out of 10","0 out of 9","0 out of 10"
"2021","030065",BANNER DESERT MEDICAL CENTER,"1400 SOUTH  DOBSON ROAD",MESA,AZ,"85202",Maricopa,"0.987266","0.852083","1.013385","1.034337","0 out of 10","0 out of 9","0 out of 10"
"2021","030068",MT. GRAHAM REGIONAL MEDICAL CENTER,"1600 SOUTH 20TH AVENUE",SAFFORD,AZ,"85546",Graham,"0.987266","0.852083","0.951387","0.968989","2 out of 10","0 out of 9","2 out of 10"
"2021","030069",HAVASU REGIONAL MEDICAL CENTER,"101 CIVIC CENTER LANE",LAKE HAVASU CITY,AZ,"86403",Mohave,"0.987266","0.852083","0.905670","0.946672","3 out of 10","0 out of 9","3 out of 10"
"2021","030071",FORT DEFIANCE INDIAN HOSPITAL,PO BOX 649,FORT DEFIANCE,AZ,"86504",Apache,"0.987266","0.852083","0.700736","0.768004","10 out of 10","0 out of 9","10 out of 10"
"2021","030073",TUBA CITY REGIONAL HEALTH CARE CORPORATION,PO BOX 600,TUBA CITY,AZ,"86045",Coconino,"0.987266","0.852083","0.847113","0.800403","10 out of 10","9 out of 9","10 out of 10"
"2021","030083",ABRAZO SCOTTSDALE CAMPUS,"3929 EAST BELL ROAD",PHOENIX,AZ,"85032",Maricopa,"0.987266","0.852083","1.010103","0.971714","2 out of 10","2 out of 9","2 out of 10"
"2021","030084",CHINLE COMPREHENSIVE HEALTH CARE FACILITY,"US HWY 191, HOSPITAL ROAD",CHINLE,AZ,"86503",Apache,"0.987266","0.852083","0.735650","0.717672","10 out of 10","9 out of 9","10 out of 10"
"2021","030085",NORTHWEST MEDICAL CENTER,"6200 NORTH LA CHOLLA BOULEVARD",TUCSON,AZ,"85741",Pima,"0.987266","0.852083","0.998397","0.966979","2 out of 10","2 out of 9","2 out of 10"
"2021","030087",SCOTTSDALE SHEA MEDICAL CENTER,"9003 EAST SHEA BOULEVARD",SCOTTSDALE,AZ,"85260",Maricopa,"0.987266","0.852083","1.022711","1.010847","0 out of 10","0 out of 9","0 out of 10"
"2021","030088",BANNER BAYWOOD MEDICAL CENTER,"6644 EAST BAYWOOD AVENUE",MESA,AZ,"85206",Maricopa,"0.987266","0.852083","0.982394","1.000706","0 out of 10","0 out of 9","0 out of 10"
"2021","030089",BANNER THUNDERBIRD MEDICAL CENTER,"5555 WEST THUNDERBIRD ROAD",GLENDALE,AZ,"85306",Maricopa,"0.987266","0.852083","1.001146","0.992318","0 out of 10","0 out of 9","0 out of 10"
"2021","030092",HONORHEALTH DEER VALLEY MEDICAL CENTER,"19829 NORTH 27TH AVENUE",PHOENIX,AZ,"85027",Maricopa,"0.987266","0.852083","0.995912","1.010825","0 out of 10","0 out of 9","0 out of 10"
"2021","030093",BANNER DEL E. WEBB MEDICAL CENTER,"14502 WEST MEEKER BOULEVARD",SUN CITY WEST,AZ,"85375",Maricopa,"0.987266","0.852083","0.933918","0.940010","4 out of 10","0 out of 9","4 out of 10"
"2021","030094",ABRAZO ARROWHEAD CAMPUS,"18701 NORTH 67TH AVENUE",GLENDALE,AZ,"85308",Maricopa,"0.987266","0.852083","1.042000","1.035812","0 out of 10","0 out of 9","0 out of 10"
"2021","030101",WESTERN ARIZONA REGIONAL MEDICAL CENTER,"2735 SILVER CREEK ROAD",BULLHEAD CITY,AZ,"86442",Mohave,"0.987266","0.852083","0.890058","0.893963","7 out of 10","0 out of 9","7 out of 10"
"2021","030103",MAYO CLINIC HOSPITAL,"5777 EAST MAYO BOULEVARD",PHOENIX,AZ,"85054",Maricopa,"0.987266","0.852083","0.949353","0.937141","4 out of 10","1 out of 9","4 out of 10"
"2021","030105",BANNER HEART HOSPITAL,"6750 EAST BAYWOOD AVENUE",MESA,AZ,"85206",Maricopa,"0.987266","0.852083","1.000340","0.986555","1 out of 10","0 out of 9","1 out of 10"
"2021","030110",ABRAZO WEST CAMPUS,"13677 WEST MCDOWELL ROAD",GOODYEAR,AZ,"85395",Maricopa,"0.987266","0.852083","0.978763","1.010511","0 out of 10","0 out of 9","0 out of 10"
"2021","030111",BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,"2800 EAST AJO WAY",TUCSON,AZ,"85713",Pima,"0.987266","0.852083","0.904993","0.913086","5 out of 10","0 out of 9","5 out of 10"
"2021","030114",ORO VALLEY HOSPITAL,"1551 EAST TANGERINE ROAD",ORO VALLEY,AZ,"85755",Pima,"0.987266","0.852083","0.946456","0.951750","3 out of 10","0 out of 9","3 out of 10"
"2021","030115",BANNER ESTRELLA MEDICAL CENTER,"9201 WEST THOMAS ROAD",PHOENIX,AZ,"85037",Maricopa,"0.987266","0.852083","0.913685","0.941631","4 out of 10","0 out of 9","4 out of 10"
"2021","030117",VALLEY VIEW MEDICAL CENTER,"5330 SOUTH HIGHWAY 95",FORT MOHAVE,AZ,"86426",Mohave,"0.987266","0.852083","0.887798","0.938991","4 out of 10","0 out of 9","4 out of 10"
"2021","030119",MERCY GILBERT MEDICAL CENTER,"3555 SOUTH VAL VISTA DRIVE",GILBERT,AZ,"85297",Maricopa,"0.987266","0.852083","1.015984","0.998009","0 out of 10","1 out of 9","1 out of 10"
"2021","030121","MOUNTAIN VISTA MEDICAL CENTER, LP","1301 SOUTH CRISMON ROAD",MESA,AZ,"85209",Maricopa,"0.987266","0.852083","0.980569","0.972752","1 out of 10","0 out of 9","1 out of 10"
"2021","030122",BANNER GATEWAY MEDICAL CENTER,"1900 NORTH HIGLEY ROAD",GILBERT,AZ,"85234",Maricopa,"0.987266","0.852083","0.983363","0.994109","0 out of 10","0 out of 9","0 out of 10"
"2021","030123",SCOTTSDALE THOMPSON PEAK MEDICAL CENTER,"7400 EAST THOMPSON PEAK PARKWAY",SCOTTSDALE,AZ,"85255",Maricopa,"0.987266","0.852083","0.970526","0.952348","3 out of 10","1 out of 9","3 out of 10"
"2021","030130",BANNER IRONWOOD MEDICAL CENTER,"37000 NORTH GANTZEL ROAD",QUEEN CREEK,AZ,"85140",Pinal,"0.987266","0.852083","0.945026","0.900574","6 out of 10","4 out of 9","6 out of 10"
"2021","030134",BANNER GOLDFIELD MEDICAL CENTER,"2050 WEST SOUTHERN AVENUE",APACHE JUNCTION,AZ,"85120",Pinal,"0.987266","0.852083","0.861643","0.871652","8 out of 10","0 out of 9","8 out of 10"
"2021","040001",SILOAM SPRINGS REGIONAL HOSPITAL,"603 NORTH PROGRESS AVENUE",SILOAM SPRINGS,AR,"72761",Benton,"0.987266","0.852083","1.077257","0.968161","2 out of 10","4 out of 9","4 out of 10"
"2021","040002",JOHNSON REGIONAL MEDICAL CENTER,"1100 EAST POPLAR STREET",CLARKSVILLE,AR,"72830",Johnson,"0.987266","0.852083","0.978208","1.006930","0 out of 10","0 out of 9","0 out of 10"
"2021","040004",WASHINGTON REGIONAL MEDICAL CENTER,"3215 N NORTH HILLS BOULEVARD",FAYETTEVILLE,AR,"72703",Washington,"0.987266","0.852083","0.994962","0.984203","1 out of 10","0 out of 9","1 out of 10"
